"","Reporter","ReporterISO","Partner","PartnerISO","Year","ttl_val"
"1","Algeria","DZA","World","WLD",2002,12009774693
"2","Algeria","DZA","World","WLD",2002,18832409255
"3","Algeria","DZA","World","WLD",2002,227271
"4","Andorra","AND","World","WLD",2002,1199570945
"5","Andorra","AND","World","WLD",2002,63752333
"6","Argentina","ARG","World","WLD",2002,8989546000
"7","Argentina","ARG","World","WLD",2002,25709371110
"8","Australia","AUS","World","WLD",2002,73025896959
"9","Australia","AUS","World","WLD",2002,64984167265
"10","Australia","AUS","World","WLD",2002,296181797
"11","Austria","AUT","World","WLD",2002,72796195961
"12","Austria","AUT","World","WLD",2002,73112664770
"13","Bahrain","BHR","World","WLD",2002,5010859566
"14","Bahrain","BHR","World","WLD",2002,5794198135
"15","Bahrain","BHR","World","WLD",2002,90324146
"16","Bangladesh","BGD","World","WLD",2002,9215132571
"17","Bangladesh","BGD","World","WLD",2002,5417272534
"18","Belgium","BEL","World","WLD",2002,198094630569
"19","Belgium","BEL","World","WLD",2002,215803005428
"20","Bolivia (Plurinational State of)","BOL","World","WLD",2002,1769357300
"21","Bolivia (Plurinational State of)","BOL","World","WLD",2002,1371651407
"22","Brazil","BRA","World","WLD",2002,50761136223
"23","Brazil","BRA","World","WLD",2002,60144460644
"24","Solomon Isds","SLB","World","WLD",2002,57853812
"25","Solomon Isds","SLB","World","WLD",2002,41723892
"26","Solomon Isds","SLB","World","WLD",2002,231929
"27","Bulgaria","BGR","World","WLD",2002,7987045940
"28","Bulgaria","BGR","World","WLD",2002,5748869468
"29","Belarus","BLR","World","WLD",2002,9092341100
"30","Belarus","BLR","World","WLD",2002,8020912000
"31","Canada","CAN","World","WLD",2002,222440059139
"32","Canada","CAN","World","WLD",2002,252584259640
"33","Canada","CAN","World","WLD",2002,3439159818
"34","Sri Lanka","LKA","World","WLD",2002,6038677070
"35","Sri Lanka","LKA","World","WLD",2002,4722972860
"36","Sri Lanka","LKA","World","WLD",2002,39557637
"37","Chile","CHL","World","WLD",2002,15383398153
"38","Chile","CHL","World","WLD",2002,17423088183
"39","China","CHN","World","WLD",2002,295170104110
"40","China","CHN","World","WLD",2002,325595969765
"41","China","CHN","World","WLD",2002,14980191728
"42","Colombia","COL","World","WLD",2002,12689965006
"43","Colombia","COL","World","WLD",2002,11897488381
"44","Mayotte","MYT","World","WLD",2002,172109522
"45","Mayotte","MYT","World","WLD",2002,5635303
"46","Cook Isds","COK","World","WLD",2002,47418199
"47","Cook Isds","COK","World","WLD",2002,5099700
"48","Cook Isds","COK","World","WLD",2002,12992
"49","Croatia","HRV","World","WLD",2002,10722045127
"50","Croatia","HRV","World","WLD",2002,4903584487
"51","Cyprus","CYP","World","WLD",2002,4083302536
"52","Cyprus","CYP","World","WLD",2002,837007019
"53","Cyprus","CYP","World","WLD",2002,457958144
"54","Cyprus","CYP","World","WLD",2002,1000953
"55","Czechia","CZE","World","WLD",2002,48230794211
"56","Czechia","CZE","World","WLD",2002,44263575824
"57","Denmark","DNK","World","WLD",2002,49284928743
"58","Denmark","DNK","World","WLD",2002,55673560165
"59","Ecuador","ECU","World","WLD",2002,6431064882
"60","Ecuador","ECU","World","WLD",2002,5029750862
"61","El Salvador","SLV","World","WLD",2002,5184498082
"62","El Salvador","SLV","World","WLD",2002,2995069168
"63","Estonia","EST","World","WLD",2002,5864475519
"64","Estonia","EST","World","WLD",2002,4341041344
"65","Estonia","EST","World","WLD",2002,2433933
"66","Faeroe Isds","FRO","World","WLD",2002,495688932
"67","Faeroe Isds","FRO","World","WLD",2002,542029275
"68","Finland","FIN","World","WLD",2002,33440047097
"69","Finland","FIN","World","WLD",2002,44517737827
"70","France","FRA","World","WLD",2002,303831441914
"71","France","FRA","World","WLD",2002,304891879379
"72","France","FRA","World","WLD",2002,3482504131
"73","Germany","DEU","World","WLD",2002,490450056000
"74","Germany","DEU","World","WLD",2002,615997391000
"75","Greece","GRC","World","WLD",2002,31299036006
"76","Greece","GRC","World","WLD",2002,10327361391
"77","Greenland","GRL","World","WLD",2002,417475360
"78","Greenland","GRL","World","WLD",2002,305370451
"79","Greenland","GRL","World","WLD",2002,38446
"80","Guatemala","GTM","World","WLD",2002,6300633464
"81","Guatemala","GTM","World","WLD",2002,2461566066
"82","China, Hong Kong SAR","HKG","World","WLD",2002,207969014584
"83","China, Hong Kong SAR","HKG","World","WLD",2002,201927773285
"84","China, Hong Kong SAR","HKG","World","WLD",2002,183600265538
"85","Hungary","HUN","World","WLD",2002,37611572000
"86","Hungary","HUN","World","WLD",2002,34336583000
"87","Iceland","ISL","World","WLD",2002,2273536948
"88","Iceland","ISL","World","WLD",2002,2229304922
"89","Ireland","IRL","World","WLD",2002,52214415070
"90","Ireland","IRL","World","WLD",2002,88478828639
"91","Israel","ISR","World","WLD",2002,33105904000
"92","Israel","ISR","World","WLD",2002,29511398000
"93","Italy","ITA","World","WLD",2002,246609477011
"94","Italy","ITA","World","WLD",2002,254215603982
"95","Japan","JPN","World","WLD",2002,337613132781
"96","Japan","JPN","World","WLD",2002,416729388431
"97","Jordan","JOR","World","WLD",2002,5019698847
"98","Jordan","JOR","World","WLD",2002,2770023012
"99","Jordan","JOR","World","WLD",2002,574322851
"100","Kenya","KEN","World","WLD",2002,3327264967
"101","Kenya","KEN","World","WLD",2002,1400699994
"102","Rep. of Korea","KOR","World","WLD",2002,152124371610
"103","Rep. of Korea","KOR","World","WLD",2002,162466097148
"104","Lebanon","LBN","World","WLD",2002,6443840727
"105","Lebanon","LBN","World","WLD",2002,1045493207
"106","Latvia","LVA","World","WLD",2002,4053715628
"107","Latvia","LVA","World","WLD",2002,2284417388
"108","Lithuania","LTU","World","WLD",2002,7709309670
"109","Lithuania","LTU","World","WLD",2002,5475632489
"110","Luxembourg","LUX","World","WLD",2002,11528844484
"111","Luxembourg","LUX","World","WLD",2002,8592956315
"112","China, Macao SAR","MAC","World","WLD",2002,3009120801
"113","China, Macao SAR","MAC","World","WLD",2002,2356770083
"114","China, Macao SAR","MAC","World","WLD",2002,516932573
"115","China, Macao SAR","MAC","World","WLD",2002,478299361
"116","Madagascar","MDG","World","WLD",2002,601944600
"117","Madagascar","MDG","World","WLD",2002,667443725
"118","Madagascar","MDG","World","WLD",2002,75211394
"119","Malaysia","MYS","World","WLD",2002,86136022725
"120","Malaysia","MYS","World","WLD",2002,93282453146
"121","Malta","MLT","World","WLD",2002,2839178669
"122","Malta","MLT","World","WLD",2002,2126266232
"123","Malta","MLT","World","WLD",2002,282192099
"124","Mauritius","MUS","World","WLD",2002,2168970329
"125","Mauritius","MUS","World","WLD",2002,1755597246
"126","Mexico","MEX","World","WLD",2002,168650540779
"127","Mexico","MEX","World","WLD",2002,160750540171
"128","Mongolia","MNG","World","WLD",2002,480453494
"129","Morocco","MAR","World","WLD",2002,11878152731
"130","Morocco","MAR","World","WLD",2002,7850325933
"131","Mozambique","MOZ","World","WLD",2002,1542963471
"132","Mozambique","MOZ","World","WLD",2002,809812034
"133","Oman","OMN","World","WLD",2002,6005160730
"134","Oman","OMN","World","WLD",2002,11237018603
"135","Netherlands","NLD","World","WLD",2002,194114787502
"136","Netherlands","NLD","World","WLD",2002,219820522373
"137","Aruba","ABW","World","WLD",2002,842875655
"138","Aruba","ABW","World","WLD",2002,128258862
"139","New Zealand","NZL","World","WLD",2002,15044156669
"140","New Zealand","NZL","World","WLD",2002,14382443911
"141","New Zealand","NZL","World","WLD",2002,562253663
"142","Nicaragua","NIC","World","WLD",2002,1788094157
"143","Nicaragua","NIC","World","WLD",2002,558704717
"144","Niger","NER","World","WLD",2002,432040376
"145","Niger","NER","World","WLD",2002,198995903
"146","Norway","NOR","World","WLD",2002,34872582616
"147","Norway","NOR","World","WLD",2002,59534883760
"148","FS Micronesia","FSM","World","WLD",2002,104290000
"149","FS Micronesia","FSM","World","WLD",2002,14441104
"150","Papua New Guinea","PNG","World","WLD",2002,1183687178
"151","Papua New Guinea","PNG","World","WLD",2002,1625122715
"152","Peru","PER","World","WLD",2002,7493004117
"153","Peru","PER","World","WLD",2002,7665213522
"154","Poland","POL","World","WLD",2002,54266342000
"155","Poland","POL","World","WLD",2002,40253902000
"156","Portugal","PRT","World","WLD",2002,40032082325
"157","Portugal","PRT","World","WLD",2002,25825579640
"158","Romania","ROU","World","WLD",2002,17861681152
"159","Romania","ROU","World","WLD",2002,13875708928
"160","Russian Federation","RUS","World","WLD",2002,46176985039
"161","Russian Federation","RUS","World","WLD",2002,106691997872
"162","Saudi Arabia","SAU","World","WLD",2002,30466326350
"163","Saudi Arabia","SAU","World","WLD",2002,72128962428
"164","Saudi Arabia","SAU","World","WLD",2002,938275306
"165","Seychelles","SYC","World","WLD",2002,419795922
"166","Seychelles","SYC","World","WLD",2002,226796265
"167","Seychelles","SYC","World","WLD",2002,48295676
"168","Singapore","SGP","World","WLD",2002,116440933211
"169","Singapore","SGP","World","WLD",2002,125177090679
"170","Slovakia","SVK","World","WLD",2002,16627735554
"171","Slovakia","SVK","World","WLD",2002,14477417105
"172","Slovakia","SVK","World","WLD",2002,125495087
"173","Slovenia","SVN","World","WLD",2002,10932233218
"174","Slovenia","SVN","World","WLD",2002,10356930502
"175","South Africa","ZAF","World","WLD",2002,26220644490
"176","South Africa","ZAF","World","WLD",2002,23064420006
"177","South Africa","ZAF","World","WLD",2002,126691988
"178","Spain","ESP","World","WLD",2002,165878871221
"179","Spain","ESP","World","WLD",2002,125854970221
"180","Spain","ESP","World","WLD",2002,2652104999
"181","Spain","ESP","World","WLD",2002,543336605
"182","Sweden","SWE","World","WLD",2002,67120675767
"183","Sweden","SWE","World","WLD",2002,82983411602
"184","Switzerland","CHE","World","WLD",2002,98883596332
"185","Switzerland","CHE","World","WLD",2002,101271489422
"186","Switzerland","CHE","World","WLD",2002,1905968837
"187","Thailand","THA","World","WLD",2002,64645215520
"188","Thailand","THA","World","WLD",2002,68107865050
"189","Thailand","THA","World","WLD",2002,950559887
"190","Tunisia","TUN","World","WLD",2002,9522562986
"191","Tunisia","TUN","World","WLD",2002,6871227940
"192","Turkey","TUR","World","WLD",2002,51270195622
"193","Turkey","TUR","World","WLD",2002,35761981307
"194","Uganda","UGA","World","WLD",2002,1073752953
"195","Uganda","UGA","World","WLD",2002,467380001
"196","Uganda","UGA","World","WLD",2002,35765891
"197","North Macedonia","MKD","World","WLD",2002,1995155655
"198","North Macedonia","MKD","World","WLD",2002,1115526799
"199","United Kingdom","GBR","World","WLD",2002,372059498514
"200","United Kingdom","GBR","World","WLD",2002,285996254299
"201","United Kingdom","GBR","World","WLD",2002,5357855891
"202","USA","USA","World","WLD",2002,1200095833882
"203","USA","USA","World","WLD",2002,693068306701
"204","USA","USA","World","WLD",2002,63789730447
"205","Uruguay","URY","World","WLD",2002,1966843510
"206","Uruguay","URY","World","WLD",2002,1861037660
"207","Zambia","ZMB","World","WLD",2002,1346875858
"208","Zambia","ZMB","World","WLD",2002,998645314
"209","Albania","ALB","World","WLD",2003,1864328860
"210","Albania","ALB","World","WLD",2003,447220546
"211","Albania","ALB","World","WLD",2003,6792
"212","Algeria","DZA","World","WLD",2003,13545429533
"213","Algeria","DZA","World","WLD",2003,24653655793
"214","Andorra","AND","World","WLD",2003,1513115270
"215","Andorra","AND","World","WLD",2003,90155985
"216","Argentina","ARG","World","WLD",2003,13850774000
"217","Argentina","ARG","World","WLD",2003,29938752000
"218","Australia","AUS","World","WLD",2003,89065101558
"219","Australia","AUS","World","WLD",2003,70288235404
"220","Australia","AUS","World","WLD",2003,322520494
"221","Austria","AUT","World","WLD",2003,91595357834
"222","Austria","AUT","World","WLD",2003,89256767360
"223","Bahamas","BHS","World","WLD",2003,1873809029
"224","Bahamas","BHS","World","WLD",2003,364827363
"225","Bahamas","BHS","World","WLD",2003,100712223
"226","Bahrain","BHR","World","WLD",2003,5657241320
"227","Bahrain","BHR","World","WLD",2003,6631600766
"228","Bahrain","BHR","World","WLD",2003,177351968
"229","Bangladesh","BGD","World","WLD",2003,10145692752
"230","Bangladesh","BGD","World","WLD",2003,6403425621
"231","Bangladesh","BGD","World","WLD",2003,213263479
"232","Armenia","ARM","World","WLD",2003,1236583577
"233","Armenia","ARM","World","WLD",2003,670474788
"234","Armenia","ARM","World","WLD",2003,110861758
"235","Armenia","ARM","World","WLD",2003,1173688
"236","Belgium","BEL","World","WLD",2003,234922194436
"237","Belgium","BEL","World","WLD",2003,255553660880
"238","Bolivia (Plurinational State of)","BOL","World","WLD",2003,1684499931
"239","Bolivia (Plurinational State of)","BOL","World","WLD",2003,1650675074
"240","Bosnia Herzegovina","BIH","World","WLD",2003,4823652527
"241","Bosnia Herzegovina","BIH","World","WLD",2003,1400284313
"242","Bosnia Herzegovina","BIH","World","WLD",2003,3766705
"243","Brazil","BRA","World","WLD",2003,51866683099
"244","Brazil","BRA","World","WLD",2003,72772250490
"245","Solomon Isds","SLB","World","WLD",2003,93823082
"246","Solomon Isds","SLB","World","WLD",2003,66628867
"247","Solomon Isds","SLB","World","WLD",2003,639371
"248","Bulgaria","BGR","World","WLD",2003,10886579888
"249","Bulgaria","BGR","World","WLD",2003,7540175591
"250","Belarus","BLR","World","WLD",2003,11558019700
"251","Belarus","BLR","World","WLD",2003,9945588400
"252","Canada","CAN","World","WLD",2003,240376249487
"253","Canada","CAN","World","WLD",2003,272229685914
"254","Canada","CAN","World","WLD",2003,2909082437
"255","Sri Lanka","LKA","World","WLD",2003,6514295591
"256","Sri Lanka","LKA","World","WLD",2003,4867830504
"257","Chile","CHL","World","WLD",2003,19245178147
"258","Chile","CHL","World","WLD",2003,21650905646
"259","China","CHN","World","WLD",2003,412759796407
